UseCase,Serving Name,Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination,Vendor,Energy_Used,TTFT_avg,TPOT_avg,rps,TTFT_p50,TTFT_p90,TTFT_p95,TTFT_p99,output_throughput,total_token_throughput,tokens_per_dollar,num_completed,num_ttft_observed
chat-100.0rps,"h200_sxm|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,50.48,['h200_sxm_1'],Nvidia,2.2109213444582654,30.5784943707,9.55387029419308,10.561898983746154,25.830180108599336,51.35848452377258,65.02953962415116,79.16096966219759,6080.432435447742,12160.864870895484,120.452306565922,200,200
chat-100.0rps,"h200_sxm|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,50.48,['h200_sxm_2'],Nvidia,0.9359303262488001,46.87830522456385,7.816481177617824,14.847616352342115,38.59944289628146,84.55380981651689,99.4210639227237,161.65495955884472,8547.698495961593,17095.396991923186,169.32841711492856,200,200
chat-100.0rps,"etched|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,etched,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,96.0,['etched_1'],Etched,1.6553387346500799,8.656639107427138,5.529724999167994,17.17109939308114,8.612561342347249,11.157861390326099,11.59716616640183,12.316590518316994,9885.316065099847,19770.632130199694,102.97204234479007,200,200
chat-100.0rps,"b200_sxm|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,68.8,['b200_sxm_2'],Nvidia,0.7762607188814422,29.120928188429822,5.616003194162674,20.575303966866667,23.849542009901654,52.129852673966354,59.5313966817228,81.28246723517407,11845.099617205306,23690.19923441061,172.16714559891435,200,200
chat-100.0rps,"mi350x|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,mi350x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,60.0,['mi350x_1'],AMD,1.6563952665938428,14.070957704035836,5.634691763783636,17.07151037875649,12.164557838798999,22.862638377400657,27.370103360099286,34.1986648492398,9827.983167498216,19655.966334996432,163.7997194583036,200,200
chat-100.0rps,"etched|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,etched,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,96.0,['etched_2'],Etched,0.7755773654364408,24.47561094510819,5.481103756267879,20.726316933851226,20.887235588752787,41.55770192304814,47.20382606537296,61.981771034469276,11932.037027233482,23864.074054466964,124.29205236701544,200,200
chat-100.0rps,"mi350x|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,mi350x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,60.0,['mi350x_2'],AMD,0.7762757357452706,29.108721906387213,5.609350669523829,20.579766539199763,24.195058079195718,51.21129519864738,59.86459788288899,79.28126983702293,11847.66869778461,23695.33739556922,197.46114496307683,200,200
chat-100.0rps,"mi355x|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,mi355x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,76.0,['mi355x_1'],AMD,1.6563168164536923,13.059799722059815,5.6170720521580195,17.088879195471865,11.234964089690635,20.71235675339794,26.235812040158137,30.567193880503424,9837.982308437176,19675.964616874353,129.44713563733126,200,200
chat-100.0rps,"tpu_v6e|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,tpu_v6e,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,24.0,['tpu_v6e_2'],TPU,1.6162742886720234,58.81596272269229,15.854789958108894,6.925692183206909,47.280357845750075,99.93660996760254,121.74886563576443,175.98955545308445,3987.0863614113014,7974.172722822603,166.12859839213755,200,200
chat-100.0rps,"mi355x|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,mi355x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,76.0,['mi355x_2'],AMD,0.7761870424326424,28.34035642169285,5.587257638457504,20.605681444584548,23.49537544638082,49.20918766092975,58.938772093822784,76.3996216620266,11862.5877792401,23725.1755584802,156.0866813057908,200,200
chat-100.0rps,"tpu_v7|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,64.0,['tpu_v7_1'],TPU,1.6648193113405614,14.120014257807586,5.689575114915767,16.920610459867504,12.201906303502142,23.45918378960911,28.48238151763866,34.281884074709616,9741.110838693423,19482.221677386846,152.20485685458473,200,200
chat-100.0rps,"tpu_v7|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,64.0,['tpu_v7_2'],TPU,0.778644758334978,29.054359494750088,5.637810248602275,20.467511645445917,24.17503852670245,51.85108533607112,58.091709773711464,79.2616681817599,11783.044116724986,23566.088233449973,184.1100643238279,200,200
chat-100.0rps,"h200_sxm-h200_sxm|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']",Nvidia,1.8008379189983745,2491.593164204508,9.430204504934276,8.649115301251591,3040.471852270083,4027.0245016748186,4105.709700858597,4162.263517830298,4979.252433354034,9958.504866708068,98.63812268926375,200,200
chat-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,1.5662170566943132,149.12365839559692,5.526248421341817,16.954325122603365,144.59227815574718,263.70760655627936,295.10473359907354,318.6382324754526,9760.520201457144,19521.04040291429,162.6753366909524,200,200
chat-100.0rps,"etched-etched|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['etched_1', 'etched_1']",Etched,1.593263579768898,8.065934982154715,5.520237895013689,17.15304431744623,7.1530722569469845,11.740111366121983,12.4173529923776,15.112609535094094,9874.921848332207,19749.843696664415,102.86376925346049,200,200
chat-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,1.5577326048925753,75.29852459323844,5.519394385929095,16.906524109677765,64.11732362972293,157.94374243510467,174.1225673768855,203.0536447011072,9733.00139732094,19466.00279464188,128.06580785948606,200,200
chat-100.0rps,"tpu_v7-tpu_v7|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']",TPU,1.5737084478029417,149.10708998129942,5.58223769316733,16.80132092554465,144.56909700491275,263.689118660239,295.0868269017845,318.61174753536204,9672.436450231427,19344.872900462855,151.13181953486605,200,200
chat-100.0rps,"h200_sxm-h200_sxm|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']",Nvidia,1.8712222462376866,414.1711891601933,9.289597271290855,10.31285177334443,428.95340311562416,729.1119409558614,785.1438924184865,841.1394465328117,5937.0572016555225,11874.114403311045,117.61206817859593,200,200
chat-100.0rps,"etched-etched|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,96.0,"['etched_1', 'etched_1']",Etched,1.4556133112872414,6.548529677240324,5.529672135867974,17.153097666624557,6.10542984533339,7.394474368000078,8.49443563299283,12.917878570104815,9874.952561187425,19749.90512237485,102.86408917903567,200,200
chat-100.0rps,"b200_sxm-b200_sxm|{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_2']",Nvidia,0.7810118954946698,1704.150270691731,5.24131095784425,16.410964444458564,1801.091601895974,2838.680292320242,2933.7711002502874,3004.6054140604206,9447.710175852573,18895.420351705146,137.32136883506647,200,200
chat-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,1.4652823737377456,14.613841149398413,5.528247153742594,17.08687498633665,11.333139000126014,27.520551039079805,32.18868615231707,64.07994512949782,9836.828495259078,19673.656990518157,163.94714158765132,200,200
