Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination
BatchingMethod.DISAGGREGATED,tpu_v6e-tpu_v6e,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,24.0,"['tpu_v6e_2', 'tpu_v6e_2']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,64.0,"['tpu_v7_2', 'tpu_v7_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,96.0,"['gb300_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,96.0,"['etched_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,60.0,"['mi350x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,76.0,"['mi355x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,50.48,"['h200_sxm_2', 'h200_sxm_2']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_2']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,96.0,"['gb300_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,96.0,"['gb300_2', 'gb300_2']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,96.0,"['etched_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,96.0,"['etched_2', 'etched_2']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,60.0,"['mi350x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,60.0,"['mi350x_2', 'mi350x_2']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,76.0,"['mi355x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,76.0,"['mi355x_2', 'mi355x_2']"
BatchingMethod.DISAGGREGATED,tpu_v6e-tpu_v6e,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,24.0,"['tpu_v6e_2', 'tpu_v6e_2']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,64.0,"['tpu_v7_2', 'tpu_v7_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,96.0,"['gb300_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,96.0,"['etched_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,60.0,"['mi350x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,76.0,"['mi355x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,50.48,"['h200_sxm_2', 'h200_sxm_2']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_2']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,96.0,"['gb300_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,96.0,"['gb300_2', 'gb300_2']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,96.0,"['etched_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,96.0,"['etched_2', 'etched_2']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,60.0,"['mi350x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,60.0,"['mi350x_2', 'mi350x_2']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,76.0,"['mi355x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,76.0,"['mi355x_2', 'mi355x_2']"
BatchingMethod.DISAGGREGATED,tpu_v6e-tpu_v6e,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,24.0,"['tpu_v6e_2', 'tpu_v6e_2']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 6}-{'TP': 1, 'PP': 1, 'DP': 2}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 3}-{'TP': 2, 'PP': 1, 'DP': 1}",128,2048,64.0,"['tpu_v7_2', 'tpu_v7_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,96.0,"['gb300_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,96.0,"['etched_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,60.0,"['mi350x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,76.0,"['mi355x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 7}-{'TP': 1, 'PP': 1, 'DP': 1}",128,2048,64.0,"['tpu_v7_1', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,66.50999999999999,"['h200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,52.769999999999996,"['b200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-etched,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['gb300_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,etched-gb300,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['etched_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,74.0,"['mi350x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,62.0,"['mi355x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,50.48,"['h200_sxm_2', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_2']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,96.0,"['gb300_1', 'gb300_2']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,96.0,"['gb300_2', 'gb300_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,96.0,"['etched_1', 'etched_2']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,96.0,"['etched_2', 'etched_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,60.0,"['mi350x_1', 'mi350x_2']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,60.0,"['mi350x_2', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,76.0,"['mi355x_1', 'mi355x_2']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,76.0,"['mi355x_2', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,tpu_v6e-tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,54.0,"['tpu_v6e_2', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v6e,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,34.0,"['tpu_v7_1', 'tpu_v6e_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,61.93,"['h200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,57.349999999999994,"['b200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-etched,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,96.0,"['gb300_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,etched-gb300,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,96.0,"['etched_1', 'gb300_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,70.0,"['mi350x_1', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,66.0,"['mi355x_1', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,50.48,"['h200_sxm_2', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_2']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,96.0,"['gb300_1', 'gb300_2']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,96.0,"['gb300_2', 'gb300_1']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,96.0,"['etched_1', 'etched_2']"
BatchingMethod.DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,96.0,"['etched_2', 'etched_1']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,60.0,"['mi350x_1', 'mi350x_2']"
BatchingMethod.DISAGGREGATED,mi350x-mi350x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,60.0,"['mi350x_2', 'mi350x_1']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,76.0,"['mi355x_1', 'mi355x_2']"
BatchingMethod.DISAGGREGATED,mi355x-mi355x,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,76.0,"['mi355x_2', 'mi355x_1']"
BatchingMethod.DISAGGREGATED,tpu_v6e-tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,44.0,"['tpu_v6e_2', 'tpu_v7_1']"
BatchingMethod.DISAGGREGATED,tpu_v7-tpu_v6e,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,44.0,"['tpu_v7_1', 'tpu_v6e_2']"
BatchingMethod.DISAGGREGATED,h200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,57.349999999999994,"['h200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,61.93,"['b200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-etched,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,96.0,"['gb300_1', 'etched_1']"
BatchingMethod.DISAGGREGATED,etched-gb300,"{'TP': 1, 'PP': 1, 'DP': 5}-{'TP': 1, 'PP': 1, 'DP': 3}",128,2048,96.0,"['etched_1', 'gb300_1']"
